season,player_id,first_name,last_name,player_name,position,height_wo_shoes,wingspan,standing reach,body fat pct,standing vertical leap,maximum vertical leap,lane agility time,three quarter sprint,bench press
2022,1631127,Harrison,Ingram,Harrison Ingram,SF,6' 5.25'',84.25,103.5,8.3,29.5,35,11.83,3.31,NULL
2022,1631093,Jaden,Ivey,Jaden Ivey,PG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631218,Trayce,Jackson-Davis,Trayce Jackson-Davis,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631107,Nikola,Jovic,Nikola Jovic,SF,6' 9.50'',84.25,108.5,7.4,NULL,NULL,NULL,NULL,NULL
2022,1630548,Johnny,Juzang,Johnny Juzang,SG,6' 5.25'',83,102.5,7.5,27.5,32.5,11.03,3.29,NULL
2022,1631130,Ismael,Kamagate,Ismael Kamagate,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631211,Trevor,Keels,Trevor Keels,SG,6' 3.25'',79.25,101,13.5,24.5,31,11.33,3.27,NULL
2022,1631117,Walker,Kessler,Walker Kessler,C,7' 0.25'',88.25,113,14.7,NULL,NULL,NULL,NULL,NULL
2022,1631132,Christian,Koloko,Christian Koloko,C,6' 10.75'',89.25,113,5.7,28,33.5,11.3,3.27,NULL
2022,1631222,Jake,LaRavia,Jake LaRavia,PF,6' 6.75'',81.5,104,9,27.5,34,10.58,3.37,NULL
2022,1631171,Justin,Lewis,Justin Lewis,PF,6' 6.25'',86.5,105.5,7.3,32.5,35,11.49,3.23,NULL
2022,1630604,E.J.,Liddell,E.J. Liddell,PF,6' 5.50'',83.75,103.5,12.2,35.5,38,11.11,3.26,NULL
2022,1631254,Kenneth,Lofton Jr.,Kenneth Lofton Jr.,PF-C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631213,Tyrese,Martin,Tyrese Martin,SG-SF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631097,Bennedict,Mathurin,Bennedict Mathurin,SG,6' 4.50'',81,104,5.7,NULL,NULL,NULL,NULL,NULL
2022,1630571,Matthew,Mayer,Matthew Mayer,SF,6' 8.00'',82.5,105,11.1,25.5,31.5,10.74,3.39,NULL
2022,1631121,Bryce,McGowens,Bryce McGowens,SG,6' 5.25'',80.75,103.5,5.4,29.5,34,11.12,3.27,NULL
2022,1631159,Leonard,Miller,Leonard Miller,SF,6' 8.50'',86,106.5,5.7,30,36.5,11.11,3.36,NULL
2022,1631125,Josh,Minnott,Josh Minnott,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631198,Aminu,Mohammed,Aminu Mohammed,SG-SF,6' 3.50'',83,104,5.1,29.5,36,11.54,3.33,NULL
2022,1631129,Iverson,Molinar,Iverson Molinar,PG,6' 2.25'',80,101,4.8,31,38,11.23,3.19,NULL
2022,1631168,Jean,Montero,Jean Montero,PG,6' 1.00'',77.25,98.5,7.4,29.5,37,11.19,3.17,NULL
2022,1631111,Wendell,Moore,Wendell Moore,SG,6' 4.25'',84.5,101,7.5,32.5,38.5,10.94,3.3,NULL
2022,1631099,Keegan,Murray,Keegan Murray,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1629614,Andrew,Nembhard,Andrew Nembhard,PG,6' 3.00'',77.75,99,4.4,26.5,35,10.46,3.26,NULL
2022,1630590,Scotty,Pippen Jr.,Scotty Pippen Jr.,PG,6' 0.00'',77.75,95.5,5.3,30.5,37.5,11.07,3.21,NULL
2022,1630629,Gabriele,Procida,Gabriele Procida,SG-SF,6' 5.75'',80,106,3.8,29.5,35,11.02,3.07,NULL
2022,1631197,Jared,Rhoden,Jared Rhoden,SG-SF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631115,Orlando,Robinson,Orlando Robinson,C,6' 9.75'',88,111,9.5,23,27.5,11.4,3.55,NULL
2022,1631223,David,Roddy,David Roddy,PF,6' 4.50'',83.5,105,11.6,27,35.5,10.75,3.22,NULL
2022,1631157,Ryan,Rollins,Ryan Rollins,SG,6' 2.00'',81.75,100.5,5,30.5,36.5,11.26,3.07,NULL
2022,1631204,Marcus,Sasser,Marcus Sasser,PG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631220,Dereon,Seabron,Dereon Seabron,SG,6' 4.75'',80.75,103.5,4,30.5,38,11.03,3.12,NULL
